discriminator_type,setting,guidance_strength,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
mlp,creative,0.5,15,250,62.5,4.0,52,1.0,0.876,4.44261078550068,3.161495589799906
mlp,creative,0.5,16,250,62.5,4.0,50,1.0,0.776,4.55745763963386,3.381017167540434
mlp,creative,0.5,17,250,62.5,4.0,49,1.0,0.916,4.236841398973822,3.1172394256299993
mlp,creative,0.5,18,250,62.5,4.0,49,1.0,0.848,4.310410676504319,3.2555739082684245
mlp,creative,0.5,19,250,62.5,4.0,52,1.0,0.864,4.804384340389531,3.25335074821915
mlp,creative,0.5,20,250,62.5,4.0,49,1.0,0.904,4.177310238983363,3.0408710624483812
mlp,creative,0.5,21,250,62.5,4.0,51,1.0,0.848,4.556316161684023,3.2558746971948813
mlp,creative,0.5,22,250,62.5,4.0,52,1.0,0.892,4.1912607315246255,3.0967492736061075
mlp,creative,0.5,23,250,62.5,4.0,49,1.0,0.932,4.349571283422633,2.958854702723617
mlp,creative,0.5,24,250,62.5,4.0,50,1.0,0.864,4.434319697730466,3.176596078765281
mlp,creative,0.5,25,250,62.5,4.0,50,1.0,0.884,5.0034662620677395,3.201795151075801
mlp,creative,0.5,26,250,62.5,4.0,50,1.0,0.896,4.225756757319248,3.0816919612540588
mlp,creative,0.5,27,250,62.5,4.0,52,1.0,0.868,4.8355420828139675,3.1411197931436945
mlp,creative,0.5,28,250,62.5,4.0,50,1.0,0.948,3.943791200239701,2.9993586210582732
mlp,creative,0.5,29,250,62.5,4.0,50,1.0,0.836,4.485117514961528,3.307217532555371
mlp,creative,0.5,30,250,62.5,4.0,49,1.0,0.932,4.3115319948792035,3.0156584596602434
lstm,conservative,0.5,1,250,62.5,4.0,21,1.0,0.98,3.3779597275101576,2.8488114063397347
lstm,conservative,0.5,2,250,62.5,4.0,33,1.0,0.892,3.4031106497800616,3.086540422988373
lstm,conservative,0.5,3,250,62.5,4.0,19,1.0,0.996,3.040229659314158,2.767533518452166
lstm,conservative,0.5,4,250,62.5,4.0,20,1.0,1.0,3.1510248328392017,2.6132994707279367
lstm,conservative,0.5,5,250,62.5,4.0,19,1.0,0.98,3.3555672147938287,2.8146531882768655
lstm,conservative,0.5,6,250,62.5,4.0,17,1.0,1.0,2.938649047210027,2.5518913463132464
lstm,conservative,0.5,7,250,62.5,4.0,19,1.0,0.992,3.2058258429755746,2.7000816131496803
lstm,conservative,0.5,8,250,62.5,4.0,21,1.0,1.0,3.4259369261306087,2.6863976672812644
lstm,conservative,0.5,9,250,62.5,4.0,23,1.0,0.964,3.5835595580831625,2.9465747528572654
lstm,conservative,0.5,10,250,62.5,4.0,12,1.0,1.0,2.8683977130458596,2.5957945805906175
lstm,conservative,0.5,11,250,62.5,4.0,17,1.0,1.0,2.6841948633984787,2.5149208126540445
lstm,conservative,0.5,12,250,62.5,4.0,17,1.0,1.0,2.736883608729708,2.535882081835062
lstm,conservative,0.5,13,250,62.5,4.0,17,1.0,1.0,2.7078246106218424,2.5433010046872973
lstm,conservative,0.5,14,250,62.5,4.0,19,1.0,0.996,2.87874794104666,2.5434473906221835
lstm,conservative,0.5,15,250,62.5,4.0,17,1.0,0.996,3.1318222646242626,2.7497092981557527
lstm,conservative,0.5,16,250,62.5,4.0,21,1.0,0.992,3.500781517199011,2.723433429145076
lstm,conservative,0.5,17,250,62.5,4.0,19,1.0,0.996,3.1281605642584704,2.7345570640357226
lstm,conservative,0.5,18,250,62.5,4.0,17,1.0,0.952,3.251554786815235,2.8330779759860234
lstm,conservative,0.5,19,250,62.5,4.0,21,1.0,0.988,3.4733857334646436,2.6908723512191353
lstm,conservative,0.5,20,250,62.5,4.0,21,1.0,1.0,2.978851473184275,2.5507057673976212
lstm,conservative,0.5,21,250,62.5,4.0,19,1.0,0.984,3.0493005816066145,2.7132946601856758
lstm,conservative,0.5,22,250,62.5,4.0,19,1.0,0.912,3.172111767483135,2.7733641418623103
lstm,conservative,0.5,23,250,62.5,4.0,21,1.0,0.988,2.8788984081565956,2.5507846845426174
lstm,conservative,0.5,24,250,62.5,4.0,21,1.0,0.988,3.053707472563059,2.704892898735892
lstm,conservative,0.5,25,250,62.5,4.0,14,1.0,0.952,3.272289749264464,2.902891324933066
lstm,conservative,0.5,26,250,62.5,4.0,17,1.0,0.996,2.60125103939731,2.418678282568186
lstm,conservative,0.5,27,250,62.5,4.0,19,1.0,0.992,3.1712754497651954,2.709783467243377
lstm,conservative,0.5,28,250,62.5,4.0,17,1.0,0.996,3.0012635072035367,2.70723858737716
lstm,conservative,0.5,29,250,62.5,4.0,22,1.0,0.888,3.437513883337285,2.939974600831901
lstm,conservative,0.5,30,250,62.5,4.0,20,1.0,0.988,3.034665924230875,2.6371649714698684
lstm,balanced,0.5,1,250,62.5,4.0,47,1.0,0.972,3.589409717409232,2.889236773579651
lstm,balanced,0.5,2,250,62.5,4.0,31,1.0,0.984,3.2784725455476673,2.6951032471417093
lstm,balanced,0.5,3,250,62.5,4.0,50,1.0,0.984,3.309529768637721,2.845956050553555
lstm,balanced,0.5,4,250,62.5,4.0,46,1.0,0.964,3.1008933140144608,2.7689725695506864
lstm,balanced,0.5,5,250,62.5,4.0,50,1.0,0.988,3.2418707521954104,2.7271112102783768
lstm,balanced,0.5,6,250,62.5,4.0,45,1.0,0.968,3.329479552923096,2.8070555372337207
lstm,balanced,0.5,7,250,62.5,4.0,21,1.0,0.904,3.527830638495322,3.010429724900212
lstm,balanced,0.5,8,250,62.5,4.0,49,1.0,0.952,3.5722113877026396,2.867512491121811
lstm,balanced,0.5,9,250,62.5,4.0,51,1.0,0.904,3.6843252252819436,3.073707674364031
lstm,balanced,0.5,10,250,62.5,4.0,45,1.0,0.992,3.542620238033776,2.7769703816045674
lstm,balanced,0.5,11,250,62.5,4.0,40,1.0,0.992,3.2326411672763555,2.7227890769231093
lstm,balanced,0.5,12,250,62.5,4.0,19,1.0,0.956,3.34443155891198,2.811610180688854
lstm,balanced,0.5,13,250,62.5,4.0,21,1.0,0.976,3.2337165947418107,2.784593238130352
lstm,balanced,0.5,14,250,62.5,4.0,41,1.0,0.996,3.2759486586137965,2.6210573638347974
lstm,balanced,0.5,15,250,62.5,4.0,34,1.0,0.968,3.2706580194256185,2.814277954342394
lstm,balanced,0.5,16,250,62.5,4.0,45,1.0,0.972,3.7250071760013608,2.8528597370138193
lstm,balanced,0.5,17,250,62.5,4.0,44,1.0,0.996,3.234456390097216,2.7077153518071952
lstm,balanced,0.5,18,250,62.5,4.0,34,1.0,0.972,3.3542016827214343,2.845561078281238
lstm,balanced,0.5,19,250,62.5,4.0,39,1.0,0.984,3.464914685240176,2.724276328729886
lstm,balanced,0.5,20,250,62.5,4.0,42,1.0,0.968,3.2678194336279596,2.880243510672778
lstm,balanced,0.5,21,250,62.5,4.0,30,1.0,0.992,3.168712876937271,2.7065104120684826
lstm,balanced,0.5,22,250,62.5,4.0,44,1.0,0.976,3.4705046678742635,2.7699475204507085
lstm,balanced,0.5,23,250,62.5,4.0,42,1.0,0.9,3.9692525147980713,3.170553089676551
lstm,balanced,0.5,24,250,62.5,4.0,36,1.0,0.98,3.480265704582356,2.7586553082569605
lstm,balanced,0.5,25,250,62.5,4.0,19,1.0,0.984,3.0652355304932755,2.6545589233590525
lstm,balanced,0.5,26,250,62.5,4.0,36,1.0,0.988,3.214305514555878,2.7354488090111078
lstm,balanced,0.5,27,250,62.5,4.0,43,1.0,0.968,3.5350460953788483,2.9473689350421064
lstm,balanced,0.5,28,250,62.5,4.0,47,1.0,0.916,3.832861337475878,3.050034263928521
lstm,balanced,0.5,29,250,62.5,4.0,22,1.0,0.988,3.263734270023583,2.749365268856602
lstm,balanced,0.5,30,250,62.5,4.0,43,1.0,0.952,3.556188112338354,2.8811496010248376
lstm,creative,0.5,1,250,62.5,4.0,51,1.0,0.908,3.9020974426683663,3.0300069355720627
lstm,creative,0.5,2,250,62.5,4.0,49,1.0,0.876,4.3205282354689,3.1368917542342483
lstm,creative,0.5,3,250,62.5,4.0,50,1.0,0.952,4.04228791836497,2.990836406806318
lstm,creative,0.5,4,250,62.5,4.0,52,1.0,0.96,3.9145807322718453,2.913802021993943
lstm,creative,0.5,5,250,62.5,4.0,44,1.0,0.816,4.339471735287971,3.370481086233335
lstm,creative,0.5,6,250,62.5,4.0,52,1.0,0.9,4.0044143876863,3.093964881879792
lstm,creative,0.5,7,250,62.5,4.0,50,1.0,0.9,4.274827389615945,3.0878787903819473
lstm,creative,0.5,8,250,62.5,4.0,51,1.0,0.904,4.37367668745299,3.07814118035701
lstm,creative,0.5,9,250,62.5,4.0,50,1.0,0.896,4.8236756143261,3.0439136359319745
lstm,creative,0.5,10,250,62.5,4.0,50,1.0,0.932,4.686707547404148,3.0584832324000475
lstm,creative,0.5,11,250,62.5,4.0,52,1.0,0.876,4.7432942554799675,3.17057955169035
lstm,creative,0.5,12,250,62.5,4.0,52,1.0,0.896,4.1375748786209225,3.075201977776898
lstm,creative,0.5,13,250,62.5,4.0,52,1.0,0.832,5.089707220732254,3.334880873861884
lstm,creative,0.5,14,250,62.5,4.0,52,1.0,0.9,4.203849741902428,3.118917499198365
lstm,creative,0.5,15,250,62.5,4.0,52,1.0,0.916,3.7962496232707537,3.007152878999996
lstm,creative,0.5,16,250,62.5,4.0,52,1.0,0.864,4.870334737266627,3.2191090069277055
lstm,creative,0.5,17,250,62.5,4.0,47,1.0,0.888,4.201683738928822,3.176761985556925
lstm,creative,0.5,18,250,62.5,4.0,52,1.0,0.828,4.7895189833425915,3.315131389114421
